name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Adidas Mens Runcrypt M Running Shoe,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91XENWjOwOL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Runcrypt-WONSTE-MAGBEI-Running/dp/B0BJL3HCPT/ref=sr_1_363?qid=1679217354&s=sports&sr=1-363,,,"₹2,390","₹4,999"
Le Gear Dri-Fit Helmet Skull Cap (White),sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91EWaKBu90L._AC_UL320_.jpg,https://www.amazon.in/Gear-Premium-Dri-Fit-Helmet-Skull/dp/B0757LKNT4/ref=sr_1_364_mod_primary_new?qid=1679217354&s=sports&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-364,4.0,480,₹140,₹149
Unbeatable Womens Compression Top T-Shirt for Gym Sports Yoga Swimming Running Full Sleeve,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/717Re8I8CTL._AC_UL320_.jpg,https://www.amazon.in/Unbeatable-Compression-T-Shirt-Swimming-Running/dp/B09Y37RX5S/ref=sr_1_365?qid=1679217354&s=sports&sr=1-365,3.9,89,₹348,₹799
Campus Men's Refresh PRO Running Shoes,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61FxWQ1P+AL._AC_UL320_.jpg,https://www.amazon.in/Campus-Mens-Refresh-Running-Shoes/dp/B08QD8ZTDH/ref=sr_1_366?qid=1679217354&s=sports&sr=1-366,3.9,"1,437",₹979,"₹1,299"
Nivia Men Marathon Running Shoe for Mens | Rubber Outsole with Breathable Mesh Upper with PVC Synthetic Leather | Die Cut ...,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81yRn2R++LL._AC_UL320_.jpg,https://www.amazon.in/Nivia-103BK-Marathon-Running-Shoes/dp/B07JHXYXMN/ref=sr_1_367?qid=1679217354&s=sports&sr=1-367,4.0,472,"₹1,175","₹1,449"
Oulm Men's Cotton Cap (New CP-12_Black_Free Size),sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61dWuovdpCL._AC_UL320_.jpg,https://www.amazon.in/Oulm-Black-Baseball-Solid-Boys/dp/B08PFNT7MJ/ref=sr_1_368?qid=1679217354&s=sports&sr=1-368,3.7,303,₹495,₹999
"SoSh Casual Sunhat Beach Hat Baseball Mens Women Sport Cap Visor hat Cap, Golf Cap",sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51bJ1E+qpYL._AC_UL320_.jpg,https://www.amazon.in/SoSh-Casual-Sunhat-Baseball-Without/dp/B07R68RV6C/ref=sr_1_369?qid=1679217354&s=sports&sr=1-369,3.8,244,₹199,₹599
"BLINKIN Women's 3/4 Gym Wear Tights for Women with Side Pockets : Perfect for Active Wear, Yoga & Workout - The Ultimate G...",sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51UoqAA7SUL._AC_UL320_.jpg,https://www.amazon.in/BLINKIN-Womens-Polyester-B-Capri-258-Pink-32_Black-Pink_Xl/dp/B09MW8C2CG/ref=sr_1_370?qid=1679217354&s=sports&sr=1-370,4.1,246,₹359,"₹1,680"
VIMAL JONNEY Men's Regular Fit Trackpants,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QyzXt7PYL._AC_UL320_.jpg,https://www.amazon.in/VIMAL-JONNEY-Cotton-Blended-Regular/dp/B085NNL3N9/ref=sr_1_371?qid=1679217354&s=sports&sr=1-371,3.8,508,₹349,₹899
YUNEK Men's Polyester Lycra Regular Fit Track Pant Lower Joggers Casual Night Pant (Dark Grey Side Strip Sports),sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41tBouJHALL._AC_UL320_.jpg,https://www.amazon.in/YUNEK-Polyester-Regular-Joggers-Casual/dp/B09Q27852R/ref=sr_1_372?qid=1679217354&s=sports&sr=1-372,3.3,139,₹499,"₹2,499"
